"id","date","price","month.return","ym","year","month","treasury","mkt","mktprm","cmpprm","industry","long.treasury","long.minus.short","season"
1301,20151030,75.5,8.7895,201510,2015,10,0.00138878280451227,4.5601,4.55871121719549,8.78811121719549,11,0.237546342169459,0.236157559364947,4
1303,20151030,64.7,16.3667,201510,2015,10,0.00138878280451227,4.5601,4.55871121719549,16.3653112171955,11,0.237546342169459,0.236157559364947,4
1326,20151030,74.5,11.527,201510,2015,10,0.00138878280451227,4.5601,4.55871121719549,11.5256112171955,11,0.237546342169459,0.236157559364947,4
1402,20151030,29.6,1.024,201510,2015,10,0.00138878280451227,4.5601,4.55871121719549,1.02261121719549,29,0.237546342169459,0.236157559364947,4
2002,20151030,19.7,2.3437,201510,2015,10,0.00138878280451227,4.5601,4.55871121719549,2.34231121719549,11,0.237546342169459,0.236157559364947,4
2105,20151030,58.9,9.074,201510,2015,10,0.00138878280451227,4.5601,4.55871121719549,9.07261121719549,11,0.237546342169459,0.236157559364947,4
2301,20151030,33.8,11.9204,201510,2015,10,0.00138878280451227,4.5601,4.55871121719549,11.9190112171955,23,0.237546342169459,0.236157559364947,4
2303,20151030,11.9,10.185,201510,2015,10,0.00138878280451227,4.5601,4.55871121719549,10.1836112171955,23,0.237546342169459,0.236157559364947,4
2308,20151030,166,7.7922,201510,2015,10,0.00138878280451227,4.5601,4.55871121719549,7.79081121719549,23,0.237546342169459,0.236157559364947,4
2317,20151030,86.6,1.1685,201510,2015,10,0.00138878280451227,4.5601,4.55871121719549,1.16711121719549,23,0.237546342169459,0.236157559364947,4
2327,20151030,51.3,1.7858,201510,2015,10,0.00138878280451227,4.5601,4.55871121719549,1.78441121719549,23,0.237546342169459,0.236157559364947,4
2330,20151030,136.5,5,201510,2015,10,0.00138878280451227,4.5601,4.55871121719549,4.99861121719549,23,0.237546342169459,0.236157559364947,4
2354,20151030,85.4,-9.3419,201510,2015,10,0.00138878280451227,4.5601,4.55871121719549,-9.34328878280451,23,0.237546342169459,0.236157559364947,4
2357,20151030,291,3.0088,201510,2015,10,0.00138878280451227,4.5601,4.55871121719549,3.00741121719549,23,0.237546342169459,0.236157559364947,4
2382,20151030,55.5,-2.8021,201510,2015,10,0.00138878280451227,4.5601,4.55871121719549,-2.80348878280451,23,0.237546342169459,0.236157559364947,4
2395,20151030,233.5,3.7778,201510,2015,10,0.00138878280451227,4.5601,4.55871121719549,3.77641121719549,23,0.237546342169459,0.236157559364947,4
2408,20151030,40.1,9.7262,201510,2015,10,0.00138878280451227,4.5601,4.55871121719549,9.72481121719549,23,0.237546342169459,0.236157559364947,4
2409,20151030,9.6,-1.4419,201510,2015,10,0.00138878280451227,4.5601,4.55871121719549,-1.44328878280451,23,0.237546342169459,0.236157559364947,4
2412,20151030,99.7,0.9111,201510,2015,10,0.00138878280451227,4.5601,4.55871121719549,0.909711217195488,24,0.237546342169459,0.236157559364947,4
2454,20151030,254.5,4.5175,201510,2015,10,0.00138878280451227,4.5601,4.55871121719549,4.51611121719549,23,0.237546342169459,0.236157559364947,4
2474,20151030,320,-8.702,201510,2015,10,0.00138878280451227,4.5601,4.55871121719549,-8.70338878280451,23,0.237546342169459,0.236157559364947,4
2492,20151030,18,30.9604,201510,2015,10,0.00138878280451227,4.5601,4.55871121719549,30.9590112171955,23,0.237546342169459,0.236157559364947,4
2633,20151030,4.1,2.4814,201510,2015,10,0.00138878280451227,4.5601,4.55871121719549,2.48001121719549,29,0.237546342169459,0.236157559364947,4
2801,20151030,16.9,4.321,201510,2015,10,0.00138878280451227,4.5601,4.55871121719549,4.31961121719549,28,0.237546342169459,0.236157559364947,4
2823,20151030,26.9,7.6003,201510,2015,10,0.00138878280451227,4.5601,4.55871121719549,7.59891121719549,28,0.237546342169459,0.236157559364947,4
2880,20151030,15.7,2.2877,201510,2015,10,0.00138878280451227,4.5601,4.55871121719549,2.28631121719549,28,0.237546342169459,0.236157559364947,4
2881,20151030,52.7,2.729,201510,2015,10,0.00138878280451227,4.5601,4.55871121719549,2.72761121719549,28,0.237546342169459,0.236157559364947,4
2882,20151030,46.4,3.2257,201510,2015,10,0.00138878280451227,4.5601,4.55871121719549,3.22431121719549,28,0.237546342169459,0.236157559364947,4
2883,20151030,8.8,-1.1299,201510,2015,10,0.00138878280451227,4.5601,4.55871121719549,-1.13128878280451,28,0.237546342169459,0.236157559364947,4
2884,20151030,19.6,1.0334,201510,2015,10,0.00138878280451227,4.5601,4.55871121719549,1.03201121719549,28,0.237546342169459,0.236157559364947,4
2885,20151030,12.8,4.918,201510,2015,10,0.00138878280451227,4.5601,4.55871121719549,4.91661121719549,28,0.237546342169459,0.236157559364947,4
2886,20151030,23.7,3.9474,201510,2015,10,0.00138878280451227,4.5601,4.55871121719549,3.94601121719549,28,0.237546342169459,0.236157559364947,4
2887,20151030,12.8,9.4422,201510,2015,10,0.00138878280451227,4.5601,4.55871121719549,9.44081121719549,28,0.237546342169459,0.236157559364947,4
2890,20151030,10.8,3.3653,201510,2015,10,0.00138878280451227,4.5601,4.55871121719549,3.36391121719549,28,0.237546342169459,0.236157559364947,4
2891,20151030,17.9,5.3099,201510,2015,10,0.00138878280451227,4.5601,4.55871121719549,5.30851121719549,28,0.237546342169459,0.236157559364947,4
2892,20151030,15.8,5.0002,201510,2015,10,0.00138878280451227,4.5601,4.55871121719549,4.99881121719549,28,0.237546342169459,0.236157559364947,4
2912,20151030,216,5.3659,201510,2015,10,0.00138878280451227,4.5601,4.55871121719549,5.36451121719549,29,0.237546342169459,0.236157559364947,4
3008,20151030,2535,-0.9766,201510,2015,10,0.00138878280451227,4.5601,4.55871121719549,-0.977988782804512,23,0.237546342169459,0.236157559364947,4
3045,20151030,102.5,1.9901,201510,2015,10,0.00138878280451227,4.5601,4.55871121719549,1.98871121719549,24,0.237546342169459,0.236157559364947,4
3481,20151030,11,6.8292,201510,2015,10,0.00138878280451227,4.5601,4.55871121719549,6.82781121719549,23,0.237546342169459,0.236157559364947,4
4904,20151030,70.4,-0.8451,201510,2015,10,0.00138878280451227,4.5601,4.55871121719549,-0.846488782804512,24,0.237546342169459,0.236157559364947,4
4938,20151030,79.8,-0.4988,201510,2015,10,0.00138878280451227,4.5601,4.55871121719549,-0.500188782804512,23,0.237546342169459,0.236157559364947,4
5871,20151030,62.3,20.9706,201510,2015,10,0.00138878280451227,4.5601,4.55871121719549,20.9692112171955,28,0.237546342169459,0.236157559364947,4
5880,20151030,14.6,6.9852,201510,2015,10,0.00138878280451227,4.5601,4.55871121719549,6.98381121719549,28,0.237546342169459,0.236157559364947,4
6505,20151030,79.1,1.0218,201510,2015,10,0.00138878280451227,4.5601,4.55871121719549,1.02041121719549,11,0.237546342169459,0.236157559364947,4
9904,20151030,46,-6.7881,201510,2015,10,0.00138878280451227,4.5601,4.55871121719549,-6.78948878280451,29,0.237546342169459,0.236157559364947,4
1101,20150930,33.4,-4.304,201509,2015,9,0.00202358428949001,0.0774,0.07537641571051,-4.30602358428949,11,0.242802621164429,0.240779036874939,3
1102,20150930,32.2,-1.6508,201509,2015,9,0.00202358428949001,0.0774,0.07537641571051,-1.65282358428949,11,0.242802621164429,0.240779036874939,3
1216,20150930,57,-1.7241,201509,2015,9,0.00202358428949001,0.0774,0.07537641571051,-1.72612358428949,29,0.242802621164429,0.240779036874939,3
1301,20150930,69.4,-3.2079,201509,2015,9,0.00202358428949001,0.0774,0.07537641571051,-3.20992358428949,11,0.242802621164429,0.240779036874939,3
1303,20150930,55.6,-6.2395,201509,2015,9,0.00202358428949001,0.0774,0.07537641571051,-6.24152358428949,11,0.242802621164429,0.240779036874939,3
1326,20150930,66.8,-4.0229,201509,2015,9,0.00202358428949001,0.0774,0.07537641571051,-4.02492358428949,11,0.242802621164429,0.240779036874939,3
1402,20150930,29.3,-0.678,201509,2015,9,0.00202358428949001,0.0774,0.07537641571051,-0.68002358428949,29,0.242802621164429,0.240779036874939,3
2002,20150930,19.2,-1.5385,201509,2015,9,0.00202358428949001,0.0774,0.07537641571051,-1.54052358428949,11,0.242802621164429,0.240779036874939,3
2105,20150930,54,3.4482,201509,2015,9,0.00202358428949001,0.0774,0.07537641571051,3.44617641571051,11,0.242802621164429,0.240779036874939,3
2301,20150930,30.2,1.3419,201509,2015,9,0.00202358428949001,0.0774,0.07537641571051,1.33987641571051,23,0.242802621164429,0.240779036874939,3
2303,20150930,10.8,0.4651,201509,2015,9,0.00202358428949001,0.0774,0.07537641571051,0.46307641571051,23,0.242802621164429,0.240779036874939,3
2308,20150930,154,-5.5214,201509,2015,9,0.00202358428949001,0.0774,0.07537641571051,-5.52342358428949,23,0.242802621164429,0.240779036874939,3
2317,20150930,85.6,1.3591,201509,2015,9,0.00202358428949001,0.0774,0.07537641571051,1.35707641571051,23,0.242802621164429,0.240779036874939,3
2327,20150930,50.4,9.4462,201509,2015,9,0.00202358428949001,0.0774,0.07537641571051,9.44417641571051,23,0.242802621164429,0.240779036874939,3
2330,20150930,130,0.7751,201509,2015,9,0.00202358428949001,0.0774,0.07537641571051,0.77307641571051,23,0.242802621164429,0.240779036874939,3
2354,20150930,94.2,2.9508,201509,2015,9,0.00202358428949001,0.0774,0.07537641571051,2.94877641571051,23,0.242802621164429,0.240779036874939,3
2357,20150930,282.5,-4.5608,201509,2015,9,0.00202358428949001,0.0774,0.07537641571051,-4.56282358428949,23,0.242802621164429,0.240779036874939,3
2382,20150930,57.1,-4.5151,201509,2015,9,0.00202358428949001,0.0774,0.07537641571051,-4.51712358428949,23,0.242802621164429,0.240779036874939,3
2395,20150930,225,8.6955,201509,2015,9,0.00202358428949001,0.0774,0.07537641571051,8.69347641571051,23,0.242802621164429,0.240779036874939,3
2408,20150930,36.5,-9.0908,201509,2015,9,0.00202358428949001,0.0774,0.07537641571051,-9.09282358428949,23,0.242802621164429,0.240779036874939,3
2409,20150930,9.7,-7.5238,201509,2015,9,0.00202358428949001,0.0774,0.07537641571051,-7.52582358428949,23,0.242802621164429,0.240779036874939,3
2412,20150930,98.8,0,201509,2015,9,0.00202358428949001,0.0774,0.07537641571051,-0.00202358428949001,24,0.242802621164429,0.240779036874939,3
2454,20150930,243.5,-2.9881,201509,2015,9,0.00202358428949001,0.0774,0.07537641571051,-2.99012358428949,23,0.242802621164429,0.240779036874939,3
2474,20150930,350.5,5.5723,201509,2015,9,0.00202358428949001,0.0774,0.07537641571051,5.57027641571051,23,0.242802621164429,0.240779036874939,3
2492,20150930,13,14.0349,201509,2015,9,0.00202358428949001,0.0774,0.07537641571051,14.0328764157105,23,0.242802621164429,0.240779036874939,3
2633,20150930,4,-2.4214,201509,2015,9,0.00202358428949001,0.0774,0.07537641571051,-2.42342358428949,29,0.242802621164429,0.240779036874939,3
2801,20150930,16.2,2.5315,201509,2015,9,0.00202358428949001,0.0774,0.07537641571051,2.52947641571051,28,0.242802621164429,0.240779036874939,3
2823,20150930,25,0.6036,201509,2015,9,0.00202358428949001,0.0774,0.07537641571051,0.60157641571051,28,0.242802621164429,0.240779036874939,3
2880,20150930,15.3,-0.6493,201509,2015,9,0.00202358428949001,0.0774,0.07537641571051,-0.65132358428949,28,0.242802621164429,0.240779036874939,3
2881,20150930,51.3,-8.229,201509,2015,9,0.00202358428949001,0.0774,0.07537641571051,-8.23102358428949,28,0.242802621164429,0.240779036874939,3
2882,20150930,45,-4.1579,201509,2015,9,0.00202358428949001,0.0774,0.07537641571051,-4.15992358428949,28,0.242802621164429,0.240779036874939,3
2883,20150930,8.9,-5.7508,201509,2015,9,0.00202358428949001,0.0774,0.07537641571051,-5.75282358428949,28,0.242802621164429,0.240779036874939,3
2884,20150930,19.4,-1.0232,201509,2015,9,0.00202358428949001,0.0774,0.07537641571051,-1.02522358428949,28,0.242802621164429,0.240779036874939,3
2885,20150930,12.2,-6.5133,201509,2015,9,0.00202358428949001,0.0774,0.07537641571051,-6.51532358428949,28,0.242802621164429,0.240779036874939,3
2886,20150930,22.8,-6.5574,201509,2015,9,0.00202358428949001,0.0774,0.07537641571051,-6.55942358428949,28,0.242802621164429,0.240779036874939,3
2887,20150930,11.7,2.193,201509,2015,9,0.00202358428949001,0.0774,0.07537641571051,2.19097641571051,28,0.242802621164429,0.240779036874939,3
2890,20150930,10.4,-7.143,201509,2015,9,0.00202358428949001,0.0774,0.07537641571051,-7.14502358428949,28,0.242802621164429,0.240779036874939,3
2891,20150930,17,-13.5204,201509,2015,9,0.00202358428949001,0.0774,0.07537641571051,-13.5224235842895,28,0.242802621164429,0.240779036874939,3
2892,20150930,15,-4.7618,201509,2015,9,0.00202358428949001,0.0774,0.07537641571051,-4.76382358428949,28,0.242802621164429,0.240779036874939,3
2912,20150930,205,-5.7471,201509,2015,9,0.00202358428949001,0.0774,0.07537641571051,-5.74912358428949,29,0.242802621164429,0.240779036874939,3
3008,20150930,2560,-15.2319,201509,2015,9,0.00202358428949001,0.0774,0.07537641571051,-15.2339235842895,23,0.242802621164429,0.240779036874939,3
3045,20150930,100.5,2.7606,201509,2015,9,0.00202358428949001,0.0774,0.07537641571051,2.75857641571051,24,0.242802621164429,0.240779036874939,3
3481,20150930,10.3,-10.8696,201509,2015,9,0.00202358428949001,0.0774,0.07537641571051,-10.8716235842895,23,0.242802621164429,0.240779036874939,3
4904,20150930,71,-0.5601,201509,2015,9,0.00202358428949001,0.0774,0.07537641571051,-0.56212358428949,24,0.242802621164429,0.240779036874939,3
4938,20150930,80.2,-4.7506,201509,2015,9,0.00202358428949001,0.0774,0.07537641571051,-4.75262358428949,23,0.242802621164429,0.240779036874939,3
5871,20150930,51.5,-1.5297,201509,2015,9,0.00202358428949001,0.0774,0.07537641571051,-1.53172358428949,28,0.242802621164429,0.240779036874939,3
5880,20150930,13.6,-1.4494,201509,2015,9,0.00202358428949001,0.0774,0.07537641571051,-1.45142358428949,28,0.242802621164429,0.240779036874939,3
6505,20150930,78.3,7.4072,201509,2015,9,0.00202358428949001,0.0774,0.07537641571051,7.40517641571051,11,0.242802621164429,0.240779036874939,3
9904,20150930,49.4,-6.1785,201509,2015,9,0.00202358428949001,0.0774,0.07537641571051,-6.18052358428949,29,0.242802621164429,0.240779036874939,3
1101,20150831,34.9,1.9006,201508,2015,8,0.00599008963340086,-5.6595,-5.6654900896334,1.8946099103666,11,0.234917065271034,0.228926975637633,3
1102,20150831,35,0.8658,201508,2015,8,0.00599008963340086,-5.6595,-5.6654900896334,0.859809910366599,11,0.234917065271034,0.228926975637633,3
1216,20150831,58,11.2396,201508,2015,8,0.00599008963340086,-5.6595,-5.6654900896334,11.2336099103666,29,0.234917065271034,0.228926975637633,3
1301,20150831,71.7,2.4285,201508,2015,8,0.00599008963340086,-5.6595,-5.6654900896334,2.4225099103666,11,0.234917065271034,0.228926975637633,3
1303,20150831,59.3,-8.0621,201508,2015,8,0.00599008963340086,-5.6595,-5.6654900896334,-8.0680900896334,11,0.234917065271034,0.228926975637633,3
1326,20150831,69.6,-6.952,201508,2015,8,0.00599008963340086,-5.6595,-5.6654900896334,-6.9579900896334,11,0.234917065271034,0.228926975637633,3
1402,20150831,29.5,-1.0066,201508,2015,8,0.00599008963340086,-5.6595,-5.6654900896334,-1.0125900896334,29,0.234917065271034,0.228926975637633,3
2002,20150831,19.5,-13.7168,201508,2015,8,0.00599008963340086,-5.6595,-5.6654900896334,-13.7227900896334,11,0.234917065271034,0.228926975637633,3
2105,20150831,52.2,-14.4263,201508,2015,8,0.00599008963340086,-5.6595,-5.6654900896334,-14.4322900896334,11,0.234917065271034,0.228926975637633,3
2301,20150831,29.8,-8.3209,201508,2015,8,0.00599008963340086,-5.6595,-5.6654900896334,-8.3268900896334,23,0.234917065271034,0.228926975637633,3
2303,20150831,10.8,-4.4444,201508,2015,8,0.00599008963340086,-5.6595,-5.6654900896334,-4.4503900896334,23,0.234917065271034,0.228926975637633,3
2308,20150831,163,4.8228,201508,2015,8,0.00599008963340086,-5.6595,-5.6654900896334,4.8168099103666,23,0.234917065271034,0.228926975637633,3
2317,20150831,92.5,1.9845,201508,2015,8,0.00599008963340086,-5.6595,-5.6654900896334,1.9785099103666,23,0.234917065271034,0.228926975637633,3
2327,20150831,46.1,2.3331,201508,2015,8,0.00599008963340086,-5.6595,-5.6654900896334,2.3271099103666,23,0.234917065271034,0.228926975637633,3
2330,20150831,129,-7.5269,201508,2015,8,0.00599008963340086,-5.6595,-5.6654900896334,-7.5328900896334,23,0.234917065271034,0.228926975637633,3
2354,20150831,91.5,-1.0869,201508,2015,8,0.00599008963340086,-5.6595,-5.6654900896334,-1.0928900896334,23,0.234917065271034,0.228926975637633,3
